Unnamed: 0,Open,High,Low,Close,Volume,Daily Return,MA20,MA50,Volatility20,Cumulative Return
2025-11-24,270.9,277.0,270.9,275.92,65585796,,,,,
2025-11-25,275.27,280.38,275.25,276.97,46914220,0.0038054508553204,,,,0.0038054508553204
2025-11-26,276.96,279.53,276.63,277.55,33431423,0.0020940896125933,,,,0.0059075094230212
2025-11-28,277.26,279.0,275.9865,278.85,20135620,0.0046838407494145,,,,0.0106190200057987
2025-12-01,278.01,283.42,276.14,283.1,46587722,0.0152411690873228,,,,0.0260220353725717
2025-12-02,283.0,287.4,282.6301,286.19,53669532,0.010914871070293,,,,0.037220933603943
2025-12-03,286.2,288.62,283.3,284.15,43538687,-0.0071281316607848,,,,0.0298274862278919
2025-12-04,284.095,284.73,278.59,280.7,43989056,-0.0121414745732887,,,,0.0173238619889821
2025-12-05,280.54,281.14,278.05,278.78,47265845,-0.0068400427502672,,,,0.0103653232821105
2025-12-08,278.13,279.6693,276.15,277.89,36406317,-0.0031924815266517,,,,0.0071397506523629
2025-12-09,278.16,280.03,276.92,277.18,31753410,-0.0025549677930115,,,,0.0045665410263844
2025-12-10,277.75,279.75,276.44,278.78,33038318,0.0057724222526875,,,,0.0103653232821105
2025-12-11,279.095,279.59,273.81,278.03,33247986,-0.0026902934213358,,,,0.0076471440997387
2025-12-12,277.9,279.22,276.82,278.28,39532887,0.0008991835413445,,,,0.008553203827196
2025-12-15,280.15,280.15,272.84,274.11,50409078,-0.0149849072876238,,,,-0.0065598724267904
2025-12-16,272.82,275.5,271.79,274.61,37648628,0.0018240852212614,,,,-0.0047477529718761
2025-12-17,275.01,276.16,271.64,271.84,50138743,-0.010087032518845,,,,-0.0147868947521023
2025-12-18,273.605,273.63,266.95,272.19,51630721,0.0012875220718069,,,,-0.0135184111336622
2025-12-19,272.145,274.6,269.9,273.67,144632048,0.0054373783019214,,,,-0.0081545375471153
2025-12-22,272.86,273.88,270.505,270.97,36571827,-0.0098658968831073,277.488,,,-0.0179399826036534
2025-12-23,270.84,272.5,269.56,272.36,29641999,0.0051297191571022,277.31,,0.1246849624754475,-0.0129022905189912
2025-12-24,272.34,275.43,272.195,273.81,17910574,0.0053238360992802,277.152,,0.1255134440613008,-0.0076471440997394
2025-12-26,274.16,275.37,272.86,273.4,21521802,-0.0014973887001936,276.94449999999995,,0.1251592381414457,-0.0091330820527694
2025-12-29,272.69,274.36,272.35,273.76,23715213,0.0013167520117045,276.69,,0.1237930792593826,-0.0078283560452309
2025-12-30,272.81,274.08,272.28,273.08,22139617,-0.0024839275277616,276.189,,0.1081571370548349,-0.0102928385039146
2025-12-31,273.06,273.68,271.75,271.86,27293639,-0.0044675552951515,275.4725,,0.0974687781869449,-0.0147144099739058
2026-01-02,272.255,277.84,269.0,271.01,37838054,-0.0031266092841905,274.8155,,0.0959982604824595,-0.0177950130472605
2026-01-05,270.64,271.51,266.14,267.26,45647190,-0.0138371277812626,274.1435,,0.0984501913098326,-0.0313859089591189
2026-01-06,267.0,267.55,262.12,262.36,52352090,-0.0183342063907804,273.3225,,0.112699345576786,-0.0491446796172806
2026-01-07,263.2,263.68,259.81,260.33,48309804,-0.0077374599786553,272.44449999999995,,0.1139466179491039,-0.0565018846042334
2026-01-08,257.02,259.29,255.7,259.04,50419337,-0.0049552491069025,271.5375,,0.1140754205763934,-0.0611771527979125
